year,vintage,type,dwellings
1991,1971-1985,apartments,
1991,1971-1980,apartments,
1991,1981-1985,apartments,
1991,1986 +,apartments,
1991,1986-1990,apartments,
1991,1991(1),apartments,
1991,1981-1990,apartments,0.0
1991,1991-1995,apartments,0.0
1991,1996-2000,apartments,0.0
1991,2001-2005,apartments,0.0
1991,2006-2010,apartments,0.0
1991,2011-2015,apartments,0.0
1991,2016-2020,apartments,0.0
1991,2021-2025,apartments,0.0
2006,total,apartments,1461445.0
2006,<1920,apartments,98660.0
2006,1921-1945,apartments,143240.0
2006,1946-1960,apartments,299060.0
2006,1961-1970,apartments,268650.0
2006,1971-1980,apartments,226990.0
2006,1981-1985,apartments,115070.0
2006,1986-1990,apartments,109370.0
2006,1991-1995,apartments,74655.0
2006,1996-2000,apartments,44410.0
2006,2001-2005,apartments,75079.0
2006,2006-2010,apartments,6256.0
2006,1981-1990,apartments,224440.0
2006,2011-2015,apartments,0.0
2006,2016-2020,apartments,0.0
2006,2021-2025,apartments,0.0
2021,total,apartments,1738185.0
2021,<1920,apartments,108425.0
2021,1921-1945,apartments,113375.0
2021,1946-1960,apartments,244625.0
2021,1961-1970,apartments,262830.0
2021,1971-1980,apartments,243705.0
2021,1981-1990,apartments,210730.0
2021,1991-1995,apartments,83955.0
2021,1996-2000,apartments,66940.0
2021,2001-2005,apartments,75350.0
2021,2006-2010,apartments,96310.0
2021,2011-2015,apartments,106075.0
2021,2016-2020,apartments,116193.0
2021,2021-2025,apartments,9682.0
1961,total,apartments,583983.0
1961,<1945,apartments,332607.0
1961,<1920,apartments,169841.0
1961,1921-1945,apartments,162766.0
1961,1946-1960,apartments,245115.0
1961,1946-1959,apartments,230088.0
1961,1960-1960,apartments,15027.0
1961,1961-1965,apartments,6261.0
1961,1961-1970,apartments,6261.0
1961,1971-1980,apartments,0.0
1961,1981-1990,apartments,0.0
1961,1991-1995,apartments,0.0
1961,1996-2000,apartments,0.0
1961,2001-2005,apartments,0.0
1961,2006-2010,apartments,0.0
1961,2011-2015,apartments,0.0
1961,2016-2020,apartments,0.0
1961,2021-2025,apartments,0.0
2016,total,apartments,1606150.0
2016,<1920,apartments,98850.0
2016,1921-1945,apartments,117430.0
2016,1946-1960,apartments,260625.0
2016,1961-1970,apartments,267370.0
2016,1971-1980,apartments,242660.0
2016,1981-1990,apartments,207390.0
2016,1991-1995,apartments,77725.0
2016,1996-2000,apartments,56235.0
2016,2001-2005,apartments,71080.0
2016,2006-2010,apartments,100670.0
2016,2011-2015,apartments,97944.0
2016,2016-2020,apartments,8161.0
2016,2021-2025,apartments,0.0
2011,total,apartments,1535370.0
2011,<1920,apartments,100085.0
2011,1921-1945,apartments,133120.0
2011,1946-1960,apartments,282915.0
2011,1961-1970,apartments,279145.0
2011,1971-1980,apartments,223655.0
2011,1981-1990,apartments,224750.0
2011,1991-1995,apartments,71780.0
2011,1996-2000,apartments,47095.0
2011,2001-2005,apartments,74990.0
2011,2006-2010,apartments,90305.0
2011,2011-2015,apartments,7525.0
2011,2016-2020,apartments,0.0
2011,2021-2025,apartments,0.0
1996,total,apartments,1284405.0
1996,<1945,apartments,
1996,<1920,apartments,
1996,1921-1945,apartments,
1996,1946-1970,apartments,
1996,1946-1960,apartments,
1996,1961-1970,apartments,
1996,1971-1985,apartments,
1996,1971-1980,apartments,
1996,1981-1985,apartments,
1996,1986 +,apartments,
1996,1986-1990,apartments,
1996,1991-1995,apartments,
1996,1996(1),apartments,
1996,1981-1990,apartments,0.0
1996,1996-2000,apartments,0.0
1996,2001-2005,apartments,0.0
1996,2006-2010,apartments,0.0
1996,2011-2015,apartments,0.0
1996,2016-2020,apartments,0.0
1996,2021-2025,apartments,0.0
1971,total,apartments,641650.0
1971,<1945,apartments,200935.0
1971,<1920,apartments,89090.0
1971,1921-1945,apartments,111845.0
1971,1946-1970,apartments,433062.0
1971,1946-1960,apartments,224590.0
1971,1961-1965,apartments,96670.0
1971,1966-1969,apartments,93445.0
1971,1970-1970,apartments,18357.0
1971,1971-1975,apartments,7648.0
1971,1961-1970,apartments,208472.0
1971,1971-1980,apartments,7648.0
1971,1981-1990,apartments,0.0
1971,1991-1995,apartments,0.0
1971,1996-2000,apartments,0.0
1971,2001-2005,apartments,0.0
1971,2006-2010,apartments,0.0
1971,2011-2015,apartments,0.0
1971,2016-2020,apartments,0.0
1971,2021-2025,apartments,0.0
1986,total,apartments,
1986,<1945,apartments,0.0
1986,<1920,apartments,
1986,1921-1945,apartments,
1986,1946-1970,apartments,0.0
1986,1946-1960,apartments,
1986,1961-1970,apartments,
1986,1971-1985,apartments,0.0
1986,1971-1975,apartments,
1986,1976-1980,apartments,
1986,1981-1985,apartments,
1986,1986 +,apartments,0.0
1986,1986-1990,apartments,0.0
1986,1986(1),apartments,
1986,1971-1980,apartments,0.0
1986,1981-1990,apartments,0.0
1986,1991-1995,apartments,0.0
1986,1996-2000,apartments,0.0
1986,2001-2005,apartments,0.0
1986,2006-2010,apartments,0.0
1986,2011-2015,apartments,0.0
1986,2016-2020,apartments,0.0
1986,2021-2025,apartments,0.0
1981,total,apartments,952700.0
1981,<1945,apartments,
1981,<1920,apartments,
1981,1921-1945,apartments,
1981,1946-1970,apartments,0.0
1981,1946-1960,apartments,
1981,1961-1970,apartments,
1981,1971-1980,apartments,
1981,1971-1975,apartments,
1981,1976-1980,apartments,
1981,1981-1985,apartments,
1981,1981-1990,apartments,0.0
1981,1991-1995,apartments,0.0
1981,1996-2000,apartments,0.0
1981,2001-2005,apartments,0.0
1981,2006-2010,apartments,0.0
1981,2011-2015,apartments,0.0
1981,2016-2020,apartments,0.0
1981,2021-2025,apartments,0.0
2001,total,apartments,1339680.0
2001,<1945,apartments,
2001,<1920,apartments,
2001,1921-1945,apartments,
2001,1946-1970,apartments,0.0
2001,1946-1960,apartments,
2001,1961-1970,apartments,
2001,1971-1985,apartments,0.0
2001,1971-1980,apartments,
2001,1981-1985,apartments,
2001,1986 +,apartments,0.0
2001,1986-1990,apartments,
2001,1991-1995,apartments,
2001,1996-2000,apartments,
2001,2001-2005,apartments,
2001,1981-1990,apartments,0.0
2001,2006-2010,apartments,0.0
2001,2011-2015,apartments,0.0
2001,2016-2020,apartments,0.0
2001,2021-2025,apartments,0.0
1991,total,mobile,24605.0
1991,<1945,mobile,180.0
1991,<1920,mobile,70.0
1991,1921-1945,mobile,110.0
1991,1946-1970,mobile,2505.0
1991,1946-1960,mobile,385.0
1991,1961-1970,mobile,2130.0
1991,1971-1985,mobile,19410.0
1991,1971-1980,mobile,16970.0
1991,1981-1985,mobile,2440.0
1991,1986 +,mobile,2505.0
1991,1986-1990,mobile,2330.0
1991,1991(1),mobile,180.0
1991,1981-1990,mobile,4770.0
1991,1991-1995,mobile,180.0
1991,1996-2000,mobile,0.0
1991,2001-2005,mobile,0.0
1991,2006-2010,mobile,0.0
1991,2011-2015,mobile,0.0
1991,2016-2020,mobile,0.0
1991,2021-2025,mobile,0.0
2006,total,mobile,21545.0
2006,<1920,mobile,310.0
2006,1921-1945,mobile,290.0
2006,1946-1960,mobile,790.0
2006,1961-1970,mobile,1800.0
2006,1971-1980,mobile,11215.0
2006,1981-1985,mobile,2220.0
2006,1986-1990,mobile,1885.0
2006,1991-1995,mobile,1290.0
2006,1996-2000,mobile,760.0
2006,2001-2005,mobile,914.0
2006,2006-2010,mobile,76.0
2006,1981-1990,mobile,4105.0
2006,2011-2015,mobile,0.0
2006,2016-2020,mobile,0.0
